year;title;genre;mpa;runtime;gross;rating_count;rating;metacritic;poster_brightness
2000;How the Grinch Stole Christmas;Family;PG;104;260.04;194117;6.1;46;25.880746356814342
2000;Cast Away;Romance;PG-13;143;233.63;491932;7.8;NA;51.02667142084646
2000;Mission: Impossible II;Thriller;PG-13;123;215.41;300317;6.1;59;27.1886047172492
2000;Gladiator;Adventure;R;155;187.71;1267208;8.5;NA;32.90640787022257
2000;What Women Want;Fantasy;PG-13;127;182.81;184977;6.4;47;41.65947139474709
2000;The Perfect Storm;Adventure;PG-13;130;182.62;150356;6.4;59;15.768280092045758
2000;Meet the Parents;Romance;PG-13;108;166.24;299905;7;NA;88.27832379770241
2000;X-Men;Sci-Fi;PG-13;104;157.3;551551;7.4;NA;33.93608496127404
2000;Scary Movie;Comedy;R;88;157.02;222431;6.2;48;32.64420693122519
2000;What Lies Beneath;Fantasy;PG-13;130;155.46;113562;6.6;51;90.31165668734945
2000;Dinosaur;Animation;PG;82;137.75;50038;6.5;56;33.483040606852576
2000;Crouching Tiger, Hidden Dragon;Fantasy;PG-13;120;128.08;245234;7.8;NA;41.13864309016726
2000;Erin Brockovich;Biography;R;131;125.6;164973;7.3;NA;67.59737968500991
2000;Charlie's Angels;Adventure;PG-13;98;125.31;169506;5.5;52;59.85111370817642
2000;Traffic;Thriller;R;147;124.12;189718;7.6;NA;16.49783131329817
2000;Nutty Professor II: The Klumps;Sci-Fi;PG-13;106;123.31;46833;4.4;NA;43.428285607674624
2000;Big Momma's House;Crime;PG-13;99;117.56;78181;5.2;NA;69.08958914409689
2000;Remember the Titans;Sport;PG;113;115.65;189396;7.8;48;23.667823940578398
2000;The Patriot;History;R;165;113.33;244460;7.2;NA;39.881745871315296
2000;Chicken Run;Animation;G;84;106.83;169523;7;NA;59.50375167818607
2001;Harry Potter and the Sorcerer's Stone;Family;PG;152;317.58;595566;7.6;NA;27.255289313924948
2001;The Lord of the Rings: The Fellowship of the Ring;Adventure;PG-13;178;315.54;1572232;8.8;NA;38.771032275765016
2001;Monsters, Inc.;Animation;G;92;289.92;772487;8;NA;75.58438363592349
2001;Shrek;Animation;PG;90;267.67;584948;7.8;NA;55.95654116175876
2001;Rush Hour 2;Crime;PG-13;90;226.16;191714;6.6;48;62.52887182172575
2001;The Mummy Returns;Fantasy;PG-13;130;202.02;290802;6.3;48;21.806796605209243
2001;Pearl Harbor;History;PG-13;183;198.54;300849;6.2;44;23.37409201074451
2001;Ocean's Eleven;Thriller;PG-13;116;183.42;489189;7.8;NA;27.36901946596936
2001;Jurassic Park III;Sci-Fi;PG-13;92;181.17;284048;5.9;42;37.1554334869629
2001;Planet of the Apes;Sci-Fi;PG-13;119;180.01;205038;5.7;50;18.92994230936818
2001;A Beautiful Mind;Biography;PG-13;135;170.74;802128;8.2;NA;42.15516667745205
2001;Hannibal;Thriller;R;131;165.09;243297;6.8;57;19.764155182662833
2001;American Pie 2;Comedy;R;108;145.1;231137;6.4;43;78.99699709513438
2001;The Fast and the Furious;Thriller;PG-13;106;144.53;331561;6.8;58;42.67463387176447
2001;Lara Croft: Tomb Raider;Fantasy;PG-13;100;131.14;191149;5.8;NA;37.08252630166642
2001;Dr. Dolittle 2;Family;PG;87;112.95;40305;4.7;49;66.13418918184556
2001;Spy Kids;Adventure;PG;88;112.72;103431;5.4;NA;39.80235958497811
2001;Black Hawk Down;War;R;144;108.64;350154;7.7;NA;47.31178439441617
2001;The Princess Diaries;Family;G;111;108.25;120991;6.3;52;70.68884488070266
2001;Vanilla Sky;Mystery;R;136;100.61;239513;6.9;45;42.526264061909266
2002;Spider-Man;Sci-Fi;PG-13;121;403.71;660491;7.3;NA;38.1130485760484
2002;The Lord of the Rings: The Two Towers;Fantasy;PG-13;179;342.55;1408706;8.7;NA;27.698503734387508
2002;Star Wars: Episode II - Attack of the Clones;Fantasy;PG;142;310.68;607672;6.5;54;28.582870867383637
2002;Harry Potter and the Chamber of Secrets;Family;PG;161;261.99;515833;7.4;NA;18.6062063855435
2002;My Big Fat Greek Wedding;Romance;PG;95;241.44;115939;6.5;NA;64.6998376906318
2002;Signs;Mystery;PG-13;106;227.97;325768;6.7;59;20.712126004352648
2002;Austin Powers in Goldmember;Adventure;PG-13;94;213.31;189035;6.2;NA;44.409349316309054
2002;Men in Black II;Adventure;PG-13;88;190.42;328146;6.2;49;64.49875351888569
2002;Ice Age;Animation;PG;81;176.39;419601;7.5;60;70.12152142338417
2002;Chicago;Musical;PG-13;113;170.69;207421;7.1;NA;16.65297334662678
2002;Catch Me If You Can;Biography;PG-13;141;164.62;763050;8.1;NA;76.48815412777387
2002;Die Another Day;Thriller;PG-13;133;160.94;197008;6.1;56;63.50417883187873
2002;Scooby-Doo;Family;PG;86;153.29;92120;5;NA;35.90848977779056
2002;Lilo & Stitch;Animation;PG;85;145.79;157741;7.2;NA;75.36483254720716
2002;xXx;Thriller;PG-13;124;142.11;169217;5.9;48;18.556247174547917
2002;The Santa Clause 2;Family;G;104;139.24;47608;5.6;48;50.394029472384794
2002;Minority Report;Mystery;PG-13;145;132.07;484396;7.6;NA;21.684573420479293
2002;The Ring;Mystery;PG-13;115;129.13;307862;7.1;57;6.39950109938007
2002;Sweet Home Alabama;Romance;PG-13;108;127.22;98334;6.2;45;79.40139743115463
2002;Mr. Deeds;Romance;PG-13;96;126.29;130828;5.8;NA;52.29904233687866
2003;Finding Nemo;Animation;G;100;380.84;903078;8.1;NA;33.43058635397896
2003;The Lord of the Rings: The Return of the King;Fantasy;PG-13;201;377.85;1560399;8.9;NA;33.56268580568654
2003;Pirates of the Caribbean: The Curse of the Black Pearl;Fantasy;PG-13;143;305.41;984798;8;NA;22.477840702102974
2003;The Matrix Reloaded;Sci-Fi;R;138;281.49;493753;7.2;NA;20.556466503267977
2003;Bruce Almighty;Fantasy;PG-13;101;242.83;356827;6.7;46;49.469164640350435
2003;X2: X-Men United;Sci-Fi;PG-13;134;214.95;494902;7.4;NA;44.886740981404756
2003;Elf;Family;PG;97;173.4;207282;6.9;NA;80.97008220354677
2003;Terminator 3: Rise of the Machines;Sci-Fi;R;109;150.37;364343;6.3;NA;13.486838423320613
2003;The Matrix Revolutions;Sci-Fi;R;129;139.31;428766;6.7;47;24.853501797426677
2003;Cheaper by the Dozen;Family;PG;98;138.61;89579;5.9;46;72.85433941628946
2003;Bad Boys II;Crime;R;147;138.61;219005;6.6;NA;43.273087911721056
2003;Anger Management;Comedy;PG-13;106;135.65;196829;6.2;52;64.7670254110613
2003;Bringing Down the House;Comedy;PG-13;105;132.72;33965;5.6;NA;65.11459652445919
2003;Hulk;Sci-Fi;PG-13;138;132.18;244771;5.6;54;22.118892329802847
2003;2 Fast 2 Furious;Thriller;PG-13;107;127.15;239918;5.9;NA;42.36053165093197
2003;Something's Gotta Give;Romance;PG-13;128;124.73;106888;6.7;NA;64.49498070714229
2003;Seabiscuit;History;PG-13;140;120.28;64400;7.3;NA;17.90047785492411
2003;S.W.A.T.;Crime;PG-13;117;116.93;133972;6;45;17.58794256125481
2003;Spy Kids 3-D: Game Over;Adventure;PG;84;111.76;51882;4.2;57;41.349440119840565
2003;The Last Samurai;War;R;154;111.11;381241;7.7;55;23.38450918844429
2004;Shrek 2;Animation;PG;93;436.47;398797;7.2;NA;53.860535984184146
2004;Spider-Man 2;Sci-Fi;PG-13;127;373.59;519202;7.3;NA;26.626309590110964
2004;The Passion of the Christ;Drama;R;127;370.78;205465;7.1;47;12.861342317347022
2004;Meet the Fockers;Romance;PG-13;115;279.26;243956;6.3;41;92.92776742994107
2004;The Incredibles;Animation;PG;115;261.44;627047;8;NA;30.302166255071462
2004;Harry Potter and the Prisoner of Azkaban;Family;PG;142;249.36;512765;7.9;NA;18.880237735512345
2004;The Day After Tomorrow;Sci-Fi;PG-13;124;186.74;399098;6.4;47;45.386160829980895
2004;The Polar Express;Animation;G;100;183.37;164005;6.6;NA;33.46866353338476
2004;The Bourne Supremacy;Mystery;PG-13;108;176.24;417870;7.7;NA;27.184827835144553
2004;National Treasure;Mystery;PG;131;173.01;292759;6.8;NA;35.208240455379226
2004;Shark Tale;Animation;PG;90;160.86;159775;6;48;44.11116066379686
